Reference Number,Si,Fe,Mg,Zn,Cu,Mn,Al,Total
1,0.185,0.228,2.94,0.0304,0.062,0.28,96,99.7254
2,0.36,0.6,1.1,0.07,0.2,0.83,96.5787,99.7387
3,9.14,1.01,0.2,0.42,3.6,0.41,84.777,99.557
4,8.565,0,0.293,0.887,2.636,0.33,86.565,99.276
5,9.5,0,0.391,0,0.058,0.016,90.021,99.986
6,7.22,0.14,0.36,0.084,0.12,0.053,91.809,99.786
7,7.46,0.53,0.036,0.14,0.15,0.1,91.414,99.83
8,12.9,0.12,0.52,0.155,0.52,0.286,84.7905,99.2915
9,8.75,0.46,1.71,0.029,2,0.056,85.31,98.315
10,0.26,0.42,1.26,0.02,0.004,1.16,96.8346,99.9586
11,0.07,0.1,0.41,0.18,0.06,1.45,97.6,99.87
12,0.16,0.31,0.88,0.1,0.11,1.14,97.15,99.85
13,6.12,0,0.32,0,0.0054,0.016,93.5352,99.9966
14,12.53,0.31,0.025,0.05,0.056,0.033,86.818,99.822
15,0.53,0.23,0.77,0.031,0.006,0.024,98.3881,99.9791
16,0.16,0.2,4.54,0.052,0.05,0.38,94.534,99.916
17,3,0.795,0.57,0.154,4.29,0.037,90.464,99.31
18,9.46,1.19,0.39,0.16,3.1,0.26,84.807,99.367
19,0.53,0.18,3.57,5.06,1.9,0.13,88.21,99.58
24,9.19,0,0.339,0,0.0057,0.008,90.4538,99.9965
25,6.16,0,0.363,0,0.006,0.206,93.2574,99.9924
26,0.18,0.205,2.48,5.44,1.6,0.079,89.843,99.827
28,0.18,0.5,1.11,0.052,0.15,1.26,96.721,99.973
29,0.18,0.35,2.03,6.08,1.35,0.45,89.39,99.83
