Measurement #;Reference material;Si;Fe;Mg;Ti;Ni;Zn;Cu;Mn;Pb;Sn;Cr;Al (100-summa)
001;Pech. 68451;0,070;0,100;0,410;0,040;0,040;0,180;0,060;1,450;0,0;0,0;0,0;97,6
002;Gränges al 6958-v-335;0,180;0,350;2,030;0,060;0,000;6,080;1,350;0,450;0,0;0,0;0,1;89,4
003;4343-AA;7,460;0,530;0,036;0,045;0,031;0,140;0,150;0,100;0,0;0,0;0,0;91,4
004;NIST1256 (values for 1256b);9,362;0,865;0,0637;0,0868;0,4135;1,011;3,478;0,3857;0,1075;0,0091;0,0572;84,2
005;Mg;0,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
006;Zn;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0
007;Fe;0,0;100,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
008;Cu;0,0;0,0;0,0;0,0;0,0;0,0;100,0;0,0;0,0;0,0;0,0;0,0
009;Al;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;100,0
010;Pech. 1206;3,000;0,795;0,570;0,093;0,301;0,154;4,290;0,037;0,1;0,2;;90,5
011;Gränges al 6958-v-331;0,120;0,300;3,040;0,029;;4,930;1,850;0,060;0,0;0,0;0,4;89,3
012;NIST 1255a;7,220;0,140;0,360;0,154;0,018;0,084;0,120;0,053;0,0;0,0;0,0;91,8
014;NBS 1258;0,780;0,079;0,980;0,000;0,001;1,030;0,840;0,480;0,0;0,0;0,0;95,8
015;O 2:3;6,160;0,000;0,363;0,008;0,000;0,000;0,006;0,206;0,0;0,0;0,0;93,3
016;NIST1256 (values for 1256b);9,362;0,865;0,0637;0,0868;0,4135;1,011;3,478;0,3857;0,1075;0,0091;0,0572;84,2
017;NBS 1241a;0,160;0,200;4,540;0,032;0,020;0,052;0,050;0,380;0,0;0,0;0,0;94,5
018;J 2:3;6,120;0,000;0,320;0,003;0,000;0,000;0,005;0,016;0,0;0,0;0,0;93,5
019;Gränges al  6958-v-337;0,350;0,270;2,780;0,070;;5,370;1,600;0,290;0,0;0,0;0,2;89,1
020;Pech. 68454;0,260;0,420;1,260;0,010;0,010;0,020;0,004;1,160;0,0;0,0;0,0;96,8
021;Pech. 1010;8,750;0,460;1,710;0,136;1,510;0,029;2,000;0,056;0,0;0,0;;85,3
022;NIST1256 (values for 1256b);9,362;0,865;0,0637;0,0868;0,4135;1,011;3,478;0,3857;0,1075;0,0091;0,0572;84,2
024;HIT 6063;0,530;0,230;0,770;0,011;0,004;0,031;0,006;0,024;0,0;0,0;0,0;98,4
026;Pech. 68453;0,360;0,600;1,100;0,150;0,010;0,070;0,200;0,830;0,0;0,0;0,1;96,6
027;NBS 1240;0,180;0,500;1,110;0,022;0,004;0,052;0,150;1,260;0,0;0,0;0,0;96,7
029;NIST 1259 (PT);0,180;0,205;2,480;0,000;0,000;5,440;1,600;0,079;0,0;0,0;0,2;89,8
030;NIST1256 (values for 1256b);9,362;0,865;0,0637;0,0868;0,4135;1,011;3,478;0,3857;0,1075;0,0091;0,0572;84,2
031;160-DO (PT);12,530;0,310;0,025;0,051;0,035;0,050;0,056;0,033;0,0;0,0;0,0;86,8
032;O 3:3;9,500;0,000;0,391;0,014;0,000;0,000;0,058;0,016;0,0;0,0;0,0;90,0
033;Pech. 68452;0,160;0,310;0,880;0,060;0,020;0,100;0,110;1,140;0,0;0,0;0,0;97,2
034;SAC 1306-30;9,460;1,190;0,390;0,160;0,470;0,160;3,100;0,260;0,0;0,0;0,0;84,8
035;BAM 306;8,565;0,000;0,293;0,152;0,296;0,887;2,636;0,330;0,2;0,1;0,0;86,6
036;Alusuisse 10/525;0,185;0,228;2,940;0,022;0,020;0,030;0,062;0,280;0,0;0,0;0,2;95,9
037;SS 380 AG-24;9,140;1,010;0,200;0,120;0,320;0,420;3,600;0,410;0,0;0,0;0,0;84,8
038;Gränges al  6958-v-336;0,530;0,180;3,570;0,090;0,000;5,060;1,900;0,130;0,0;0,0;0,3;88,2
039;J 3:3;9,190;0,000;0,339;0,004;0,000;0,000;0,006;0,008;0,0;0,0;0,0;90,5
040;NIST1256 (values for 1256b);9,362;0,865;0,0637;0,0868;0,4135;1,011;3,478;0,3857;0,1075;0,0091;0,0572;84,2
