Sample Name,Fe,Si,Mn,Cu,Ni,Cr,Mo,Mg,C (Leco),P,S (Leco),Sn,Pb,Al,Ti,Ce,Ca,Zn,V,Sb,Bi,Nb,Zr,sum,,
A01,92.94,1.84,0.19,0.64,0.42,0.022,0.269,0.0024,3.61,0.040,0.010,0.014,0.004,0.001,0.008,0.003,0.000,0.003,0.004,0.001,0.001,0,0,96.33,,
A02,93.35,1.80,0.17,0.48,0.37,0.022,0.173,0.0017,3.64,0.037,0.010,0.007,0.004,0.001,0.008,0.004,0.000,0.003,0.004,0.001,0.001,0,0,96.36,,
A03,94.15,1.59,0.14,0.32,0.06,0.024,0.016,0.0010,3.63,0.047,0.009,0.006,0.003,0.005,0.009,0.002,0.000,0.003,0.003,0.001,0.001,0,0,96.29,,
A04,93.70,1.38,0.20,0.66,0.04,0.018,0.269,0.0017,3.60,0.037,0.011,0.005,0.005,0.001,0.006,0.001,0.000,0.005,0.004,0.003,0.002,0.003,0.001,96.27,,
A05,94.33,1.63,0.12,0.11,0.09,0.019,0.019,0.0022,3.70,0.042,0.013,0.004,0.003,0.001,0.007,0.001,0.000,0.003,0.003,0.001,0.001,0.001,0.001,96.31,,
A06,94.51,1.50,0.12,0.09,0.04,0.021,0.009,0.0009,3.67,0.042,0.015,0.004,0.002,0.004,0.009,0.002,0.000,0.002,0.003,0.000,0.001,0,0,96.29,,
A07,94.01,1.31,0.20,0.61,0.07,0.019,0.016,0.0046,3.77,0.042,0.015,0.007,0.003,0.005,0.009,0.004,0.000,0.003,0.004,0.001,0.002,0,0,96.24,,
B10,93.24,2.27,0.17,0.55,0.061,0.025,0.013,0.066,3.65,0.043,0.008,0.007,0.004,0.008,0.009,0.005,0.001,0.004,0.004,0.002,0.002,0.00,0.00,96.39,,
B11,93.23,2.31,0.17,0.55,0.061,0.025,0.014,0.072,3.62,0.044,0.006,0.007,0.004,0.008,0.010,0.006,0.001,0.004,0.004,0.001,0.002,0.00,0.00,96.43,,
B12,92.47,2.62,0.36,0.83,0.070,0.022,0.018,0.049,3.66,0.041,0.007,0.010,0.003,0.010,0.010,0.006,0.001,0.004,0.004,0.002,0.002,0,0,96.44,,
B13,91.68,2.46,0.19,0.64,1.180,0.023,0.270,0.058,3.44,0.037,0.007,0.014,0.004,0.005,0.008,0.005,0.001,0.004,0.004,0.000,0.002,0,0,96.51,,
B14,93.65,2.49,0.12,0.13,0.110,0.024,0.012,0.036,3.49,0.047,0.008,0.005,0.002,0.006,0.010,0.003,0.000,0.003,0.004,0.001,0.001,0.001,0.001,96.57,,
B15,93.55,2.53,0.13,0.13,0.093,0.024,0.012,0.033,3.54,0.048,0.008,0.005,0.003,0.007,0.010,0.003,0.000,0.003,0.004,0.001,0.002,0.002,0.001,96.50,,
B16,93.63,2.48,0.12,0.13,0.052,0.024,0.012,0.030,3.50,0.047,0.008,0.005,0.002,0.006,0.010,0.003,0.000,0.003,0.004,0.001,0.001,0.001,0.001,96.48,,
C17,92.27,2.54,0.16,1.13,0.095,0.027,0.027,0.0568,3.59,0.043,0.007,0.070,0.005,0.010,0.010,0.007,0.001,0.004,0.004,0.002,0.002,0,0,96.31,,
C18,92.79,2.40,0.21,0.65,0.071,0.019,0.265,0.0470,3.64,0.040,0.006,0.008,0.004,0.010,0.010,0.006,0.001,0.004,0.004,0.002,0.001,0,0,96.45,,
C19,91.81,2.39,0.20,0.65,1.100,0.021,0.267,0.0542,3.55,0.036,0.007,0.014,0.004,0.004,0.008,0.006,0.000,0.004,0.004,0.001,0.001,0,0,96.48,,
C20,91.81,2.42,0.19,0.65,1.060,0.021,0.263,0.0442,3.57,0.036,0.008,0.014,0.004,0.004,0.008,0.006,0.000,0.004,0.004,0.001,0.001,0,0,96.46,,
C21,92.37,2.61,0.16,1.17,0.062,0.019,0.015,0.0504,3.54,0.043,0.007,0.079,0.004,0.010,0.011,0.006,0.001,0.004,0.004,0.002,0.001,0,0,96.46,,
C22,92.07,4.40,0.20,0.14,0.053,0.022,0.012,0.0468,2.99,0.037,0.008,0.008,0.003,0.009,0.009,0.004,0.001,0.003,0.003,0.003,0.001,0,0,96.94,,
