Sample Name,Fe,Si,Mn,Cu,Ni,Cr,Mo,Mg
A01,92.94,1.84,0.19,0.64,0.42,0.022,0.269,0.0024
A02,93.35,1.80,0.17,0.48,0.37,0.022,0.173,0.0017
A03,94.15,1.59,0.14,0.32,0.06,0.024,0.016,0.0010
A04,93.70,1.38,0.20,0.66,0.04,0.018,0.269,0.0017
A05,94.33,1.63,0.12,0.11,0.09,0.019,0.019,0.0022
A06,94.51,1.50,0.12,0.09,0.04,0.021,0.009,0.0009
A07,94.01,1.31,0.20,0.61,0.07,0.019,0.016,0.0046
B10,93.24,2.27,0.17,0.55,0.061,0.025,0.013,0.066
B11,93.23,2.31,0.17,0.55,0.061,0.025,0.014,0.072
B12,92.47,2.62,0.36,0.83,0.070,0.022,0.018,0.049
B13,91.68,2.46,0.19,0.64,1.180,0.023,0.270,0.058
B14,93.65,2.49,0.12,0.13,0.110,0.024,0.012,0.036
B15,93.55,2.53,0.13,0.13,0.093,0.024,0.012,0.033
B16,93.63,2.48,0.12,0.13,0.052,0.024,0.012,0.030
C17,92.27,2.54,0.16,1.13,0.095,0.027,0.027,0.0568
C18,92.79,2.40,0.21,0.65,0.071,0.019,0.265,0.0470
C19,91.81,2.39,0.20,0.65,1.100,0.021,0.267,0.0542
C20,91.81,2.42,0.19,0.65,1.060,0.021,0.263,0.0442
C21,92.37,2.61,0.16,1.17,0.062,0.019,0.015,0.0504
C22,92.07,4.40,0.20,0.14,0.053,0.022,0.012,0.0468
