Sample,CaO,CaF2,MgO,Al2O3,SiO2,FeO,MnO,Cr2O3,P2O5,V2O5,TiO2
H01,37.8,0.18,25,9.61,13.2,18.3,1.99,0.2,0.23,0.18,1.03
H02,44.5,0.22,18,5.04,14.2,18.9,2.1,0.28,0.26,0.06,1.07
H03,38.5,0.22,21.1,6.14,10.6,20.2,5.82,0.61,0.4,0.14,0.86
H04,38.4,0.04,15.5,4.07,12.8,26.7,3.35,0.52,0.31,0.08,1.07
H05,43.2,0.18,17.1,4.14,14.8,21.7,1.72,0.2,0.29,0.18,1.07
H06,45.3,0.23,15.9,4.34,16.5,18.9,1.29,0.1,0.3,0.11,1.1
H07,46.1,0.25,14.3,4.12,16.2,19,1.21,0.09,0.27,0.06,1.08
H08,45.1,0.19,13,4.05,16.1,21,1.26,0.1,0.28,0.06,1.09
H09,32.8,0.01,10.6,7.3,14.3,33.2,2.75,0.42,0.32,0.09,1.12
H10,42.4,0.24,19.3,6.5,14.7,17.4,2.72,0.31,0.28,0.09,1.06
H11,38.4,0.04,11.2,5.02,14,26.1,2.84,2.11,0.34,0.09,0.91
H12,36.4,0.01,17.4,4.31,12.8,27.7,2.86,2.59,0.27,0.09,0.77
O01,43.7,1.3,7.9,3.2,33.3,1.3,3,3.7,0.01,0.11,0.8
O02,41.3,1.2,7.9,3.8,35.3,1.3,2,3.9,0.01,0.1,0.83
O03,44.6,1.1,9.6,2.8,35.3,0.9,1.3,2.7,0.01,0.07,0.8
O04,42.5,1.6,8.9,3.2,29,1.3,1.6,11,0.01,0.17,1.12
O05,39.2,1.1,8.4,3.7,34.3,1.7,1.3,9.3,0.01,0.11,0.92
O06,44.2,1.1,10.5,3.2,34.5,1,1.1,3.2,0.01,0.08,0.98
O07,44.1,1.1,9.1,3.7,32.5,2,2,4.5,0.01,0.12,0.71
O08,40.3,1.2,7.7,4.8,30.9,1.7,3.3,7.6,0.01,0.18,1.45
O09,37.5,1.4,6.8,4.1,27.8,2.5,3.5,12.9,0.01,0.23,1.93
O10,37.9,1.1,6.1,2.8,25.3,1.7,2.8,17.8,0.02,0.28,0.74
U01,24.2,3.04,14.1,10.9,24.3,2.45,4.39,15.4,0,0.96,0.21
U02,39.8,3.63,11.8,7.91,21.5,3.87,1.36,6.98,0,3,0.28
U03,33.4,1.72,7.2,6.7,5.85,35,3.79,2.05,0.2,0.3,0.45
U04,41,2.81,18.4,5.72,25.4,3.46,0.49,1.08,0,0.4,0.22
U05,31.3,3.95,19.9,9.52,28,2.86,0.7,3,0,0,0.45
U06,33.2,2.19,14.9,8.57,13.9,12.8,5.32,6.99,0,0.4,0.21
U07,51.4,0,8.9,26.9,11.6,0.27,0,0.15,0,0,0.12
U08,53,0,8.94,25.5,11.8,0.14,0,0,0,0,0
U09,40.5,2.05,19.9,6.05,28.5,1.39,0.42,0.92,0,0.22,0.25
U10,50.1,0,14,28.4,5.99,0.45,0,0.15,0,0.19,0.14
U11,40.1,2.43,20,6.79,27.5,1.37,0.41,0.89,0,0.22,0.24
U12,44.5,0,24.4,22.1,7.54,0.47,0,0,0,0,0
