Sample,MgO,Al2O3,SiO2,FeO,MnO,Cr2O3,P2O5,V2O5,TiO2,Ca tot
H01,25.0,9.61,13.2,18.3,1.99,0.2,0.23,0.18,1.03,37.98
H02,18.0,5.04,14.2,18.9,2.1,0.28,0.26,0.06,1.07,44.72
H03,21.1,6.14,10.6,20.2,5.82,0.61,0.4,0.14,0.86,38.72
H04,15.5,4.07,12.8,26.7,3.35,0.52,0.31,0.08,1.07,38.44
H05,17.1,4.14,14.8,21.7,1.72,0.2,0.29,0.18,1.07,43.38
H06,15.9,4.34,16.5,18.9,1.29,0.1,0.3,0.11,1.1,45.529999999999994
H07,14.3,4.12,16.2,19.0,1.21,0.09,0.27,0.06,1.08,46.35
H08,13.0,4.05,16.1,21.0,1.26,0.1,0.28,0.06,1.09,45.29
H09,10.6,7.3,14.3,33.2,2.75,0.42,0.32,0.09,1.12,32.809999999999995
H10,19.3,6.5,14.7,17.4,2.72,0.31,0.28,0.09,1.06,42.64
H11,11.2,5.02,14.0,26.1,2.84,2.11,0.34,0.09,0.91,38.44
H12,17.4,4.31,12.8,27.7,2.86,2.59,0.27,0.09,0.77,36.41
O01,7.9,3.2,33.3,1.3,3.0,3.7,0.01,0.11,0.8,45.0
O02,7.9,3.8,35.3,1.3,2.0,3.9,0.01,0.1,0.83,42.5
O03,9.6,2.8,35.3,0.9,1.3,2.7,0.01,0.07,0.8,45.7
O04,8.9,3.2,29.0,1.3,1.6,11.0,0.01,0.17,1.12,44.1
O05,8.4,3.7,34.3,1.7,1.3,9.3,0.01,0.11,0.92,40.300000000000004
O06,10.5,3.2,34.5,1.0,1.1,3.2,0.01,0.08,0.98,45.300000000000004
O07,9.1,3.7,32.5,2.0,2.0,4.5,0.01,0.12,0.71,45.2
O08,7.7,4.8,30.9,1.7,3.3,7.6,0.01,0.18,1.45,41.5
O09,6.8,4.1,27.8,2.5,3.5,12.9,0.01,0.23,1.93,38.9
O10,6.1,2.8,25.3,1.7,2.8,17.8,0.02,0.28,0.74,39.0
U01,14.1,10.9,24.3,2.45,4.39,15.4,0.0,0.96,0.21,27.24
U02,11.8,7.91,21.5,3.87,1.36,6.98,0.0,3.0,0.28,43.43
U03,7.2,6.7,5.85,35.0,3.79,2.05,0.2,0.3,0.45,35.12
U04,18.4,5.72,25.4,3.46,0.49,1.08,0.0,0.4,0.22,43.81
U05,19.9,9.52,28.0,2.86,0.7,3.0,0.0,0.0,0.45,35.25
U06,14.9,8.57,13.9,12.8,5.32,6.99,0.0,0.4,0.21,35.39
U07,8.9,26.9,11.6,0.27,0.0,0.15,0.0,0.0,0.12,51.4
U08,8.94,25.5,11.8,0.14,0.0,0.0,0.0,0.0,0.0,53.0
U09,19.9,6.05,28.5,1.39,0.42,0.92,0.0,0.22,0.25,42.55
U10,14.0,28.4,5.99,0.45,0.0,0.15,0.0,0.19,0.14,50.1
U11,20.0,6.79,27.5,1.37,0.41,0.89,0.0,0.22,0.24,42.53
U12,24.4,22.1,7.54,0.47,0.0,0.0,0.0,0.0,0.0,44.5
