;S;CaO;CaF2;MgO;Al2O3;SiO2;FeO;MnO;Cr2O3;P2O5;V2O5;TiO2;MoO3;NiO;Na2O;K2O;NbO
H06;0,030;45,3;0,23;15,9;4,34;16,5;18,9;1,29;0,10;0,30;0,11;1,10;0;0,02;0,01;0,02;0,05
Fe, pure;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0
U08;0,20;53,00;0;8,94;25,50;11,80;0,14;0;0;0;0;0;0;0;0;0;0
O02;0;41,3;1,2;7,9;3,8;35,3;1,3;2,0;3,9;0,01;0,10;0,83;0;0,07;0;0;0
F100?;0,04;14,1;;3,9;25,1;40,9;3,9;0,11;0,13;0,04;-;0,81;;;5,4;5,4;
H09;0,033;32,8;0,01;10,6;7,30;14,3;33,2;2,75;0,42;0,32;0,09;1,12;0;0,02;0,04;0,03;0,05
U04;0;41,00;2,81;18,40;5,72;25,40;3,46;0,49;1,08;0;0,40;0,22;0;0;0;0;0
O05;0;39,2;1,1;8,4;3,7;34,3;1,7;1,3;9,3;0,01;0,11;0,92;0;0,38;0;0;0
U03;0;33,40;1,72;7,20;6,70;5,85;35,00;3,79;2,05;0,20;0,30;0,45;1,06;0;0;0;0
U12;0,3;44,50;0;24,40;22,10;7,54;0,47;0;0;0;0;0;0;0;0;0;0
H12;0,030;36,4;0,01;17,4;4,31;12,8;27,7;2,86;2,59;0,27;0,09;0,77;0;0,02;0,01;0,04;0,06
Ti, pure;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0
H04;0,034;38,4;0,04;15,5;4,07;12,8;26,7;3,35;0,52;0,31;0,08;1,07;0;0,02;0,01;0,02;0,05
H10;0,039;42,4;0,24;19,3;6,50;14,7;17,4;2,72;0,31;0,28;0,09;1,06;0;0,02;0,01;0,02;0,07
O07;0;44,1;1,1;9,1;3,7;32,5;2,0;2,0;4,5;0,01;0,12;0,71;0;0,20;0;0;0
O10;0;37,9;1,1;6,1;2,8;25,3;1,7;2,8;17,8;0,02;0,28;0,74;0;0,09;0;0;0
Mg, pure;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0
H03;0,072;38,5;0,22;21,1;6,14;10,6;20,2;5,82;0,61;0,40;0,14;0,86;0;0,02;0,01;0,02;0,10
Al, pure;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0
H07;0,032;46,1;0,25;14,3;4,12;16,2;19,0;1,21;0,09;0,27;0,06;1,08;0;0,02;0,02;0,03;0,04
P2;0,06;16,9;;14,2;16,5;39,6;9,9;0,19;0,11;0,08;0.01;1,0;;;1,2;0,47;
O06;0;44,2;1,1;10,5;3,2;34,5;1,0;1,1;3,2;0,01;0,08;0,98;0;0,15;0;0;0
H08;0,031;45,1;0,19;13,0;4,05;16,1;21,0;1,26;0,10;0,28;0,06;1,09;0;0,02;0,01;0,03;0,04
U10;0;50,10;0;14,00;28,40;5,99;0,45;0;0,15;0;0,19;0,14;0;0;0;0;0
H11;0,032;38,4;0,04;11,2;5,02;14,0;26,1;2,84;2,11;0,34;0,09;0,91;0;0,02;0,04;0,04;0,06
U07;0,20;51,40;0;8,90;26,90;11,60;0,27;0;0,15;0;0;0,12;0;0;0;0;0
P4;0,14;19,4;;10,1;17,5;39,9;8,9;0,36;0,10;0,09;0,01;1,2;;;1,9;0,50;
O08;0;40,3;1,2;7,7;4,8;30,9;1,7;3,3;7,6;0,01;0,18;1,45;0;0,18;0;0;0
O01;0;43,7;1,3;7,9;3,2;33,3;1,3;3,0;3,7;0,01;0,11;0,80;0;0,11;0;0;0
H05;0,037;43,2;0,18;17,1;4,14;14,8;21,7;1,72;0,20;0,29;0,18;1,07;0;0,02;0,01;0,02;0,04
O04;0;42,5;1,6;8,9;3,2;29,0;1,3;1,6;11,0;0,01;0,17;1,12;0;0,33;0;0;0
U01;0;24,20;3,04;14,10;10,90;24,30;2,45;4,39;15,40;0;0,96;0,21;0;0;0;0;0
U06;0;33,20;2,19;14,90;8,57;13,90;12,80;5,32;6,99;0;0,40;0,21;0;0;0;0;0
P1;0,02;15,1;;12,7;17,5;40,5;11,8;0,14;0,10;0,08;0,01;0,81;;;1,3;0,43;
H01;0,024;37,8;0,18;25,0;9,61;13,2;18,3;1,99;0,20;0,23;0,18;1,03;0;0,02;0,01;0,02;0,07
U05;0;31,30;3,95;19,90;9,52;28,00;2,86;0,70;3,00;0;0;0,45;0;0;0;0;0
P3;0,15;19,0;;9,3;18,4;40,5;8,6;0,33;0,07;0,08;0.01;1,0;;;1,9;0,47;
H02;0,041;44,5;0,22;18,0;5,04;14,2;18,9;2,10;0,28;0,26;0,06;1,07;0;0,02;0,01;0,02;0,05
Ni, pure;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0
U11;0;40,10;2,43;20,00;6,79;27,50;1,37;0,41;0,89;0;0,22;0,24;0;0;0;0;0
O03;0;44,6;1,1;9,6;2,8;35,3;0,9;1,3;2,7;0,01;0,07;0,80;0;0,12;0;0;0
O09;0;37,5;1,4;6,8;4,1;27,8;2,5;3,5;12,9;0,01;0,23;1,93;0;0,28;0;0;0
U02;0;39,80;3,63;11,80;7,91;21,50;3,87;1,36;6,98;0;3,00;0,28;0;0;0;0;0
U09;0;40,50;2,05;19,90;6,05;28,50;1,39;0,42;0,92;0;0,22;0,25;0;0;0;0;0
